"course_assignment_id","curricula_program_id","semester_id","course_id","created_at","updated_at"
"1","2","13","1","2024-10-24 00:36:38","2024-10-24 00:36:38"
"2","2","13","2","2024-10-24 00:37:10","2024-10-24 00:37:10"
"3","2","13","3","2024-10-24 00:37:48","2024-10-24 00:37:48"
"4","2","13","4","2024-10-24 00:38:15","2024-10-24 00:38:15"
"5","2","13","5","2024-10-24 00:38:40","2024-10-24 00:38:40"
"6","2","13","6","2024-10-24 00:39:12","2024-10-24 00:39:12"
"7","2","13","7","2024-10-24 00:39:52","2024-10-24 00:39:52"
"8","2","13","8","2024-10-24 00:40:30","2024-10-24 00:40:30"
"9","2","13","9","2024-10-24 00:40:55","2024-10-24 00:40:55"
"10","2","14","10","2024-10-24 00:41:42","2024-10-24 00:41:42"
"11","2","14","11","2024-10-24 00:42:23","2024-10-24 00:42:23"
"12","2","14","12","2024-10-24 00:42:59","2024-10-24 00:42:59"
"13","2","14","13","2024-10-24 00:43:31","2024-10-24 00:43:31"
"14","2","14","14","2024-10-24 00:44:04","2024-10-24 00:44:04"
"15","2","14","15","2024-10-24 00:44:35","2024-10-24 00:44:35"
"16","2","14","16","2024-10-24 00:45:23","2024-10-24 00:45:23"
"17","2","14","17","2024-10-24 00:45:52","2024-10-24 00:45:52"
"18","2","14","18","2024-10-24 00:46:21","2024-10-24 00:46:21"
"19","2","15","19","2024-10-24 00:47:49","2024-10-24 00:47:49"
"20","2","16","20","2024-10-24 00:48:31","2024-10-24 00:48:31"
"21","2","16","21","2024-10-24 00:49:05","2024-10-24 00:49:05"
"22","2","16","22","2024-10-24 00:49:37","2024-10-24 00:49:37"
"23","2","16","23","2024-10-24 00:50:13","2024-10-24 00:50:13"
"24","2","16","24","2024-10-24 00:50:53","2024-10-24 00:50:53"
"25","2","16","25","2024-10-24 00:51:24","2024-10-24 00:51:24"
"26","2","16","26","2024-10-24 00:52:05","2024-10-24 00:52:05"
"27","2","16","27","2024-10-24 00:52:28","2024-10-24 00:52:28"
"29","2","17","29","2024-10-24 00:54:15","2024-10-24 00:54:15"
"30","2","17","30","2024-10-24 00:54:58","2024-10-24 00:54:58"
"31","2","17","31","2024-10-24 00:55:34","2024-10-24 00:55:34"
"32","2","17","32","2024-10-24 00:56:15","2024-10-24 00:56:15"
"33","2","17","33","2024-10-24 00:57:08","2024-10-24 00:57:08"
"34","2","17","34","2024-10-24 00:57:50","2024-10-24 00:57:50"
"35","2","17","35","2024-10-24 00:58:34","2024-10-24 00:58:34"
"36","2","17","36","2024-10-24 00:59:04","2024-10-24 00:59:04"
"37","2","17","37","2024-10-24 00:59:59","2024-10-24 00:59:59"
"38","2","18","38","2024-10-24 01:02:02","2024-10-24 01:02:02"
"39","2","19","39","2024-10-24 01:02:52","2024-10-24 01:02:52"
"40","2","19","40","2024-10-24 01:03:20","2024-10-24 01:03:20"
"41","2","19","41","2024-10-24 01:04:03","2024-10-24 01:04:03"
"42","2","19","42","2024-10-24 01:04:35","2024-10-24 01:04:35"
"43","2","19","43","2024-10-24 01:05:02","2024-10-24 01:05:02"
"44","2","19","44","2024-10-24 01:05:45","2024-10-24 01:05:45"
"45","2","19","45","2024-10-24 01:06:46","2024-10-24 01:06:46"
"46","2","20","46","2024-10-24 01:08:02","2024-10-24 01:08:02"
"47","4","34","47","2024-10-24 01:24:44","2024-10-24 01:24:44"
"48","4","34","48","2024-10-24 01:25:15","2024-10-24 01:25:15"
"49","4","34","49","2024-10-24 01:25:42","2024-10-24 01:25:42"
"50","4","34","50","2024-10-24 01:26:09","2024-10-24 01:26:09"
"51","4","34","51","2024-10-24 01:26:45","2024-10-24 01:26:45"
"52","4","34","52","2024-10-24 01:27:27","2024-10-24 01:27:27"
"53","4","34","53","2024-10-24 01:28:36","2024-10-24 01:28:36"
"54","4","34","54","2024-10-24 01:29:01","2024-10-24 01:29:01"
"55","4","35","55","2024-10-24 01:29:54","2024-10-24 01:29:54"
"56","4","35","56","2024-10-24 01:30:27","2024-10-24 01:30:27"
"57","4","35","57","2024-10-24 01:31:17","2024-10-24 01:31:17"
"58","4","35","58","2024-10-24 01:31:53","2024-10-24 01:31:53"
"59","4","35","59","2024-10-24 01:32:38","2024-10-24 01:32:38"
"60","4","35","60","2024-10-24 01:33:12","2024-10-24 01:33:12"
"61","4","35","61","2024-10-24 01:34:08","2024-10-24 01:34:08"
"62","4","35","62","2024-10-24 01:34:48","2024-10-24 01:34:48"
"63","4","37","63","2024-10-24 01:36:19","2024-10-24 01:36:19"
"64","4","37","64","2024-10-24 01:36:53","2024-10-24 01:36:53"
"65","4","37","65","2024-10-24 01:37:35","2024-10-24 01:37:35"
"66","4","37","66","2024-10-24 01:40:33","2024-10-24 01:40:33"
"67","4","37","67","2024-10-24 01:41:25","2024-10-24 01:41:25"
"68","4","37","68","2024-10-24 01:42:00","2024-10-24 01:42:00"
"69","4","37","69","2024-10-24 01:42:43","2024-10-24 01:42:43"
"70","4","37","70","2024-10-24 01:43:41","2024-10-24 01:43:41"
"71","4","38","71","2024-10-24 01:44:25","2024-10-24 01:44:25"
"72","4","38","72","2024-10-24 01:45:00","2024-10-24 01:45:00"
"73","4","38","73","2024-10-24 01:45:30","2024-10-24 01:45:30"
"74","4","38","74","2024-10-24 01:46:06","2024-10-24 01:46:06"
"75","4","38","75","2024-10-24 01:46:35","2024-10-24 01:46:35"
"76","4","38","76","2024-10-24 01:47:11","2024-10-24 01:47:11"
"77","4","38","77","2024-10-24 01:47:52","2024-10-24 01:47:52"
"78","4","38","78","2024-10-24 01:48:34","2024-10-24 01:48:34"
"79","4","40","79","2024-10-24 01:49:13","2024-10-24 01:49:13"
"80","4","40","80","2024-10-24 01:49:58","2024-10-24 01:49:58"
"81","4","40","81","2024-10-24 01:50:34","2024-10-24 01:50:34"
"82","4","40","82","2024-10-24 01:50:56","2024-10-24 01:50:56"
"83","4","40","83","2024-10-24 01:51:23","2024-10-24 01:51:23"
"84","4","40","84","2024-10-24 01:51:48","2024-10-24 01:51:48"
"85","4","40","85","2024-10-24 01:52:13","2024-10-24 01:52:13"
"86","4","41","86","2024-10-24 01:52:46","2024-10-24 01:52:46"
"87","4","41","87","2024-10-24 01:53:24","2024-10-24 01:53:24"
"88","4","41","88","2024-10-24 01:54:09","2024-10-24 01:54:09"
"89","4","41","89","2024-10-24 01:54:36","2024-10-24 01:54:36"
"90","4","41","90","2024-10-24 01:55:30","2024-10-24 01:55:30"
"91","4","41","91","2024-10-24 01:56:02","2024-10-24 01:56:02"
"92","4","41","92","2024-10-24 01:56:44","2024-10-24 01:56:44"
"93","4","42","93","2024-10-24 01:57:22","2024-10-24 01:57:22"
"94","4","42","94","2024-10-24 01:57:57","2024-10-24 01:57:57"
"95","4","43","95","2024-10-24 01:58:55","2024-10-24 01:58:55"
"96","4","43","96","2024-10-24 02:00:00","2024-10-24 02:00:00"
"97","4","43","97","2024-10-24 02:00:48","2024-10-24 02:00:48"
"98","4","43","98","2024-10-24 02:01:46","2024-10-24 02:01:46"
"99","4","43","99","2024-10-24 02:02:35","2024-10-24 02:02:35"
"100","4","43","100","2024-10-24 02:03:03","2024-10-24 02:03:03"
"101","4","44","101","2024-10-24 02:04:39","2024-10-24 02:04:39"
"102","4","44","102","2024-10-24 02:05:54","2024-10-24 02:05:54"
"103","6","55","103","2024-10-24 02:29:56","2024-10-24 02:29:56"
"104","6","55","104","2024-10-24 02:32:25","2024-10-24 02:32:25"
"105","6","55","105","2024-10-24 02:32:53","2024-10-24 02:32:53"
"106","6","55","106","2024-10-24 02:33:19","2024-10-24 02:33:19"
"107","6","55","107","2024-10-24 02:33:46","2024-10-24 02:33:46"
"108","6","55","108","2024-10-24 02:34:24","2024-10-24 02:34:24"
"109","6","55","109","2024-10-24 02:34:56","2024-10-24 02:34:56"
"110","6","56","110","2024-10-24 02:35:56","2024-10-24 02:35:56"
"111","6","56","111","2024-10-24 02:36:52","2024-10-24 02:36:52"
"112","6","56","112","2024-10-24 02:37:15","2024-10-24 02:37:15"
"113","6","56","113","2024-10-24 02:37:43","2024-10-24 02:37:43"
