"requirement_id","course_id","requirement_type","required_course_id","created_at","updated_at"
"1","10","pre","3","2024-10-24 00:41:42","2024-10-24 00:41:42"
"2","11","pre","4","2024-10-24 00:42:23","2024-10-24 00:42:23"
"3","16","pre","6","2024-10-24 00:45:23","2024-10-24 00:45:23"
"4","21","pre","11","2024-10-24 00:49:05","2024-10-24 00:49:05"
"5","22","pre","2","2024-10-24 00:49:37","2024-10-24 00:49:37"
"6","24","pre","10","2024-10-24 00:50:53","2024-10-24 00:50:53"
"8","29","pre","10","2024-10-24 00:54:15","2024-10-24 00:54:15"
"9","30","pre","24","2024-10-24 00:54:58","2024-10-24 00:54:58"
"10","32","pre","26","2024-10-24 00:56:15","2024-10-24 00:56:15"
"11","35","pre","23","2024-10-24 00:58:34","2024-10-24 00:58:34"
"12","42","pre","10","2024-10-24 01:04:35","2024-10-24 01:04:35"
"13","44","pre","32","2024-10-24 01:05:45","2024-10-24 01:05:45"
"14","46","pre","38","2024-10-24 01:08:02","2024-10-24 01:08:02"
"15","55","pre","47","2024-10-24 01:29:54","2024-10-24 01:29:54"
"17","59","pre","52","2024-10-24 01:32:38","2024-10-24 01:32:38"
"18","61","pre","53","2024-10-24 01:34:08","2024-10-24 01:34:08"
"19","62","pre","54","2024-10-24 01:34:48","2024-10-24 01:34:48"
"21","58","pre","49","2024-10-24 01:39:39","2024-10-24 01:39:39"
"22","66","pre","51","2024-10-24 01:40:33","2024-10-24 01:40:33"
"23","67","pre","59","2024-10-24 01:41:25","2024-10-24 01:41:25"
"24","69","pre","53","2024-10-24 01:42:43","2024-10-24 01:42:43"
"25","70","pre","59","2024-10-24 01:43:41","2024-10-24 01:43:41"
"26","72","pre","68","2024-10-24 01:45:00","2024-10-24 01:45:00"
"27","73","pre","52","2024-10-24 01:45:30","2024-10-24 01:45:30"
"28","76","pre","59","2024-10-24 01:47:11","2024-10-24 01:47:11"
"29","77","pre","70","2024-10-24 01:47:52","2024-10-24 01:47:52"
