"preference_day_id","preference_id","preferred_day","preferred_start_time","preferred_end_time","created_at","updated_at"
"8","3","Friday","09:00:00","13:30:00","2024-12-15 21:57:07","2024-12-15 21:57:07"
"9","3","Wednesday","07:30:00","09:00:00","2024-12-15 21:57:07","2024-12-15 21:57:07"
"10","4","Monday","08:30:00","15:30:00","2024-12-15 21:57:29","2024-12-15 21:57:29"
"11","4","Saturday","08:00:00","10:00:00","2024-12-15 21:57:29","2024-12-15 21:57:29"
"12","4","Wednesday","08:00:00","10:00:00","2024-12-15 21:57:29","2024-12-15 21:57:29"
"13","5","Friday","13:00:00","17:00:00","2024-12-15 21:58:11","2024-12-15 21:58:11"
"14","5","Wednesday","11:30:00","16:30:00","2024-12-15 21:58:11","2024-12-15 21:58:11"
"15","6","Friday","09:00:00","13:00:00","2024-12-15 21:58:30","2024-12-15 21:58:30"
"16","6","Wednesday","07:30:00","09:00:00","2024-12-15 21:58:30","2024-12-15 21:58:30"
"17","7","Friday","08:00:00","09:30:00","2024-12-15 21:59:05","2024-12-15 21:59:05"
"18","7","Sunday","10:30:00","14:30:00","2024-12-15 21:59:05","2024-12-15 21:59:05"
"19","7","Tuesday","11:30:00","18:30:00","2024-12-15 21:59:05","2024-12-15 21:59:05"
