"program_year_level_curricula_id","academic_year_id","program_id","year_level","curriculum_id","created_at","updated_at"
"85","1","1","1","2","2024-12-15 21:43:15","2024-12-15 21:43:15"
"86","1","1","2","2","2024-12-15 21:43:15","2024-12-15 21:43:15"
"87","1","1","3","2","2024-12-15 21:43:15","2024-12-15 21:43:15"
"88","1","1","4","2","2024-12-15 21:43:15","2024-12-15 21:43:15"
"89","1","2","1","1","2024-12-15 21:43:15","2024-12-15 21:56:30"
"90","1","2","2","1","2024-12-15 21:43:15","2024-12-15 21:56:30"
"91","1","2","3","1","2024-12-15 21:43:16","2024-12-15 21:56:30"
"92","1","3","1","2","2024-12-15 21:43:16","2024-12-15 21:43:16"
"93","1","3","2","2","2024-12-15 21:43:16","2024-12-15 21:43:16"
"94","1","3","3","2","2024-12-15 21:43:16","2024-12-15 21:43:16"
"95","1","3","4","2","2024-12-15 21:43:16","2024-12-15 21:43:16"
"96","1","4","1","2","2024-12-15 21:43:16","2024-12-15 21:43:16"
"97","1","4","2","2","2024-12-15 21:43:16","2024-12-15 21:43:16"
"98","1","4","3","2","2024-12-15 21:43:16","2024-12-15 21:43:16"
