"year_level_id","curricula_program_id","year","created_at","updated_at"
"1","1","1","2024-10-24 00:34:52","2024-10-24 00:34:52"
"2","1","2","2024-10-24 00:34:52","2024-10-24 00:34:52"
"3","1","3","2024-10-24 00:34:52","2024-10-24 00:34:52"
"4","1","4","2024-10-24 00:34:52","2024-10-24 00:34:52"
"5","2","1","2024-10-24 00:34:52","2024-10-24 00:34:52"
"6","2","2","2024-10-24 00:34:52","2024-10-24 00:34:52"
"7","2","3","2024-10-24 00:34:52","2024-10-24 00:34:52"
"8","3","1","2024-10-24 00:34:52","2024-10-24 00:34:52"
"9","3","2","2024-10-24 00:34:52","2024-10-24 00:34:52"
"10","3","3","2024-10-24 00:34:52","2024-10-24 00:34:52"
"11","3","4","2024-10-24 00:34:52","2024-10-24 00:34:52"
"12","4","1","2024-10-24 01:24:01","2024-10-24 01:24:01"
"13","4","2","2024-10-24 01:24:01","2024-10-24 01:24:01"
"14","4","3","2024-10-24 01:24:01","2024-10-24 01:24:01"
"15","4","4","2024-10-24 01:24:01","2024-10-24 01:24:01"
"19","6","1","2024-10-24 01:24:01","2024-10-24 01:24:01"
"20","6","2","2024-10-24 01:24:01","2024-10-24 01:24:01"
"21","6","3","2024-10-24 01:24:01","2024-10-24 01:24:01"
"22","6","4","2024-10-24 01:24:01","2024-10-24 01:24:01"
"23","7","1","2024-10-24 10:58:06","2024-10-24 10:58:06"
"24","7","2","2024-10-24 10:58:06","2024-10-24 10:58:06"
"25","7","3","2024-10-24 10:58:06","2024-10-24 10:58:06"
"26","8","1","2024-11-16 09:17:02","2024-11-16 09:17:02"
"27","8","2","2024-11-16 09:17:02","2024-11-16 09:17:02"
"28","8","3","2024-11-16 09:17:02","2024-11-16 09:17:02"
